,audittrail,csv
_bkt,1,6.0
_cd,1,6.0
_indextime,1,6.0
_kv,1,
_raw,1,6.0
_serial,1,6.0
_si,1,6.0
_sourcetype,1,6.0
_subsecond,1,
_time,1,6.0
action,1,
host,1,6.0
index,1,6.0
info,1,
linecount,1,6.0
source,1,6.0
sourcetype,1,6.0
splunk_server,1,6.0
timestamp,1,
user,1,
acceleration_id,1,
api_et,1,
api_index_et,1,
api_index_lt,1,
api_lt,1,
app,1,
available_count,1,
considered_events,1,
decompressed_slices,1,
drop_count,1,
duration_command_search_index,1,
duration_command_search_index_bucketcache_hit,1,
duration_command_search_index_bucketcache_miss,1,
duration_command_search_rawdata,1,
duration_command_search_rawdata_bucketcache_hit,1,
duration_command_search_rawdata_bucketcache_miss,1,
eliminated_buckets,1,
event_count,1,
exec_time,1,
fully_completed_search,1,
has_error_warn,1,
invocations_command_search_index_bucketcache_error,1,
invocations_command_search_index_bucketcache_hit,1,
invocations_command_search_index_bucketcache_miss,1,
invocations_command_search_rawdata_bucketcache_error,1,
invocations_command_search_rawdata_bucketcache_hit,1,
invocations_command_search_rawdata_bucketcache_miss,1,
is_federated_search,1,
is_flex_search,1,
is_prjob,1,
is_proxied,1,
is_realtime,1,
json,1,
mode,1,
provenance,1,
rate_limit_retry_enabled,1,
result_count,1,
roles,1,
savedsearch_name,1,
scan_count,1,
search,1,
search_et,1,
search_id,1,
search_lt,1,
search_startup_time,1,
searched_buckets,1,
total_run_time,1,
total_slices,1,
search_type,1,
apiEndTime,1,
apiIndexEndTime,1,
apiIndexStartTime,1,
apiStartTime,1,
autojoin,1,
buckets,1,
enable_lookups,1,
extra_fields,1,
max_count,1,
maxtime,1,
ttl,1,
sourcetype_count__csv,1,
maintain,1,
summaryprefix,1,
tstats,1,
